name,Number of residents,year,Ages 0-5,Ages 6-17,Ages 18-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages over 65,Working age,Gymn Ed,Prof Ed,Bachelors,Medium HE,Masters,No education,Currently studying,Entrepreneurs,Low income,Middle income,High income,Danish origin,Western,non-Western,wkb_geometry
Gammelholms,1119,2008,6.17000008,9.47000027,21.18000031,18.40999985,16.26000023,21.36000061,7.1500001,79.44000244,11.89999962,14.39999962,4.9000001,13,17,28.20000076,10.60000038,3.5999999,55.95000076,15.10000038,28.94000053,64.87999725,29.85000038,5.26999998
Kongens Haves,853,2008,5.15999985,4.34000015,22.04000092,18.40999985,10.31999969,19.45999908,20.28000069,72.34999847,9.5,10.60000038,3.29999995,12.5,26.29999924,15.60000038,22.10000038,10.19999981,32.65000153,27.39999962,39.95000076,86.98999786,8.21000004,4.80999994
Gothersgades,582,2008,4.30000019,5.5,12.71000004,12.53999996,11.51000023,20.45000076,32.99000168,73.83999634,7,7.9000001,2.9000001,21.39999962,27,21.39999962,12.30000019,6.9000001,22.73999977,30.26000023,46.99000168,86.94000244,7.73000002,5.32999992
Borgergades,86,2008,2.32999992,8.14000034,27.90999985,24.42000008,16.28000069,10.47000027,10.47000027,58.33000183,5.80000019,13,5.80000019,13,4.30000019,42,15.89999962,1,45.56999969,16.45999908,37.97000122,66.27999878,18.60000038,15.11999989
Palægades,60,2008,3.32999992,0,26.67000008,16.67000008,8.32999992,26.67000008,18.32999992,75.51000214,6.4000001,19.10000038,14.89999962,10.60000038,17,21.29999924,10.60000038,0,31.67000008,28.32999992,40,80,15,5
Nyhavns,686,2008,4.80999994,8.60000038,17.93000031,23.03000069,15.15999985,18.07999992,12.39000034,73.77999878,10.69999981,12.80000019,5.5999999,12,21.70000076,23.70000076,13.39999962,8.5,33.33000183,22.5,44.16999817,79.44999695,13.98999977,6.55999994
Stokhusgades,679,2008,6.63000011,6.76999998,38.72999954,17.37999916,7.80999994,15.31999969,7.36000013,73.12999725,8.10000038,10.69999981,4.0999999,10.10000038,13.5,14.19999981,39.29999924,12.60000038,46,24.19000053,29.80999947,86.88999939,8.97999954,4.11999989
Fredericiagades,696,2008,5.88999987,10.48999977,16.23999977,17.23999977,13.51000023,18.81999969,17.81999969,74.01000214,9,14.10000038,5.30000019,15.10000038,20.5,15.60000038,20.5,1.39999998,30.46999931,31.18000031,38.34999847,87.36000061,8.90999985,3.74000001
Adelgades,199,2008,2.50999999,0,27.13999939,14.06999969,5.53000021,16.07999992,34.66999817,84.84999847,8.80000019,20,4,12.80000019,23.20000076,9.60000038,21.60000038,0,25.25,29.29000092,45.45000076,92.95999908,5.03000021,2.00999999
Marmorkirkens,513,2008,6.82000017,10.14000034,15.59000015,22.61000061,17.35000038,16.76000023,10.72000027,77.91999817,12.10000038,14.69999981,5,10.80000019,24.20000076,19.5,13.69999981,5.80000019,34.68000031,14.89000034,50.43000031,81.87000275,10.14000034,7.98999977
